idx,network_snr,base_status,base_wall_s,base_ncall,base_niter,base_logZ_err,base_information_gain,dlogz001_status,dlogz001_wall_s,dlogz001_ncall,dlogz001_niter,dlogz001_logZ_err,dlogz001_information_gain,base_in90_M,dlogz001_in90_M,base_w90_M,dlogz001_w90_M,base_rank_M,dlogz001_rank_M,base_in90_a_star,dlogz001_in90_a_star,base_w90_a_star,dlogz001_w90_a_star,base_rank_a_star,dlogz001_rank_a_star,base_in90_i,dlogz001_in90_i,base_w90_i,dlogz001_w90_i,base_rank_i,dlogz001_rank_i,base_in90_position_angle,dlogz001_in90_position_angle,base_w90_position_angle,dlogz001_w90_position_angle,base_rank_position_angle,dlogz001_rank_position_angle,base_in90_ring_width_frac,dlogz001_in90_ring_width_frac,base_w90_ring_width_frac,dlogz001_w90_ring_width_frac,base_rank_ring_width_frac,dlogz001_rank_ring_width_frac,base_in90_log10_total_flux_jy,dlogz001_in90_log10_total_flux_jy,base_w90_log10_total_flux_jy,dlogz001_w90_log10_total_flux_jy,base_rank_log10_total_flux_jy,dlogz001_rank_log10_total_flux_jy
29,3.84941,ok,67.92,22555,1886,0.129295,2.56603,ok,120.3,46808,2519,0.101629,2.42997,1,1,4.93008e+09,5.51457e+09,77,74,1,1,0.916273,0.825667,23,11,0,0,1.83075,1.51407,4,3,0,1,2.59746,2.86343,95,94,1,1,0.350958,0.258405,77,81,0,0,0.231108,0.225458,4,4
98,5.03237,ok,42.45,19387,1899,0.129657,2.53013,ok,80.09,29428,2478,0.104181,2.5316,0,0,4.62937e+09,5.43864e+09,100,95,1,1,0.88432,0.827909,92,94,1,1,1.98081,1.66663,81,87,1,1,2.76743,2.55823,10,6,1,1,0.360325,0.366982,63,61,1,1,0.274457,0.261446,70,65
79,5.7338,ok,66.41,23680,2174,0.147915,3.35027,ok,79.33,30835,2680,0.115958,3.14866,1,1,5.62425e+09,4.35441e+09,54,61,0,0,0.898335,0.87426,0,2,0,0,1.20508,1.33403,0,1,1,1,2.32724,1.54443,13,6,1,1,0.268728,0.399238,69,59,1,1,0.20937,0.205047,22,19
52,8.54201,ok,63.08,22153,2114,0.151559,3.66533,ok,90.18,34082,2731,0.126861,3.79896,0,0,2.91645e+09,2.50716e+09,95,96,1,1,0.904211,0.894971,35,36,1,1,1.39276,1.69571,61,69,1,1,2.08873,2.01965,52,48,1,1,0.309276,0.317011,60,58,1,1,0.162148,0.145396,18,26
76,11.1608,ok,104.38,36465,2627,0.16057,4.24888,ok,126.08,49971,3328,0.139476,4.58333,1,1,5.56591e+09,5.50414e+09,87,86,1,1,0.89425,0.920528,56,35,1,1,1.50136,1.4516,29,24,1,1,1.0624,0.883886,18,29,1,1,0.397987,0.406972,26,22,1,1,0.11179,0.109074,6,8
51,16.8351,ok,121.34,43149,2734,0.176825,5.01659,ok,158.65,60531,3378,0.146553,5.08388,1,1,4.91899e+09,5.21938e+09,23,21,1,1,0.856078,0.808555,59,68,1,1,1.72456,1.89407,15,11,0,0,1.41752,1.03489,99,97,1,1,0.299201,0.335882,66,67,1,1,0.0973399,0.0823162,21,14
61,27.6487,ok,131.21,45665,2799,0.190322,5.9271,ok,172.9,67334,3383,0.157781,5.8951,0,0,1.90355e+09,1.43094e+09,98,100,1,1,0.892647,0.884836,10,11,1,1,2.59002,2.56652,43,45,1,1,2.75402,2.85878,40,27,1,1,0.385111,0.388557,45,52,0,0,0.0553963,0.0595394,98,98
62,30.3214,ok,214.71,73825,2997,0.191627,6.09418,ok,256.21,103070,3567,0.159156,5.98907,1,1,2.40828e+09,2.10105e+09,60,57,0,1,0.860383,0.896447,5,8,1,1,2.60539,2.50181,13,10,1,1,2.73498,2.77025,53,46,1,1,0.408535,0.405903,59,54,1,1,0.0523378,0.0538445,61,47
84,32.281,ok,184.66,63249,3458,0.212371,7.8354,ok,220.65,87555,4084,0.18147,7.86,0,0,2.94306e+09,3.20722e+09,1,2,1,1,0.852798,0.89235,29,26,1,1,0.754913,0.712496,58,59,0,0,0.438094,0.425356,3,2,1,1,0.398279,0.423738,92,90,1,1,0.0534792,0.0460704,40,49
71,40.5803,ok,185.64,64774,3666,0.223018,9.12707,ok,234.44,93637,4318,0.19772,9.36023,1,1,6.11774e+08,6.39628e+08,53,40,1,1,0.774413,0.822687,88,85,1,1,2.77413,2.75624,93,91,1,1,3.02193,3.03129,53,51,1,1,0.123024,0.13391,9,17,1,1,0.0369965,0.0344685,52,62
97,54.307,ok,100.41,90814,4703,0.268996,12.5477,ok,211.29,98481,5198,0.22725,12.2891,1,1,1.34651e+09,1.36506e+09,46,57,0,0,0.867239,0.762649,0,3,1,1,1.02747,1.01507,67,70,0,0,0.382576,0.367531,100,100,1,1,0.161917,0.151323,61,55,1,1,0.0282014,0.0290682,25,16
39,87.119,ok,237.27,78285,3783,0.240127,9.76474,ok,306.06,117654,4425,0.203058,9.83546,1,1,4.79192e+08,4.57724e+08,17,32,0,0,0.803727,0.902082,3,3,1,1,2.39879,2.37858,48,52,1,1,2.87745,3.024,44,31,1,1,0.268826,0.267428,82,84,1,1,0.0161431,0.0194289,12,13
96,102.337,ok,369.09,122148,4801,0.281464,13.5629,ok,411.45,161098,5313,0.235966,13.3032,1,1,9.04566e+08,8.76284e+08,56,61,1,1,0.86252,0.874177,51,58,1,1,1.41125,1.40648,15,10,1,1,0.12786,0.114072,53,50,1,1,0.217335,0.170235,12,10,1,1,0.0144911,0.013909,22,27
