idx,n_baselines_new,snr_new,snr_old,wall_new_s,wall_old_s,wall_ratio,rank_new_M,rank_old_M,in90_new_M,in90_old_M,rank_new_a_star,rank_old_a_star,in90_new_a_star,in90_old_a_star,rank_new_i,rank_old_i,in90_new_i,in90_old_i,rank_new_position_angle,rank_old_position_angle,in90_new_position_angle,in90_old_position_angle,rank_new_ring_width_frac,rank_old_ring_width_frac,in90_new_ring_width_frac,in90_old_ring_width_frac,rank_new_log10_total_flux_jy,rank_old_log10_total_flux_jy,in90_new_log10_total_flux_jy,in90_old_log10_total_flux_jy
29,28,3.37185,3.84941,152.61,67.92,2.2469,98,77,0,1,12,23,1,1,1,4,0,0,89,95,1,0,83,77,1,1,15,4,1,0
98,28,4.52206,5.03237,154.38,42.45,3.6367,100,100,0,0,93,92,1,1,100,81,0,1,54,10,1,1,60,63,1,1,76,70,1,1
79,28,5.40402,5.7338,115.74,66.41,1.7428,67,54,1,1,1,0,0,0,2,0,0,0,9,13,1,1,56,69,1,1,15,22,1,1
52,28,8.03051,8.54201,112.89,63.08,1.7896,98,95,0,0,28,35,1,1,50,61,1,1,58,52,1,1,63,60,1,1,6,18,1,1
76,28,10.8808,11.1608,652.93,104.38,6.2553,68,87,1,1,46,56,1,1,24,29,1,1,96,18,0,1,30,26,1,1,51,6,1,1
51,28,20.337,16.8351,253.15,121.34,2.0863,77,23,1,1,63,59,1,1,5,15,0,1,95,99,0,0,78,66,1,1,67,21,1,1
61,28,26.137,27.6487,271.77,131.21,2.0713,1,98,0,0,10,10,1,1,0,43,0,1,86,40,1,1,58,45,1,1,76,98,1,0
62,28,28.2483,30.3214,438.58,214.71,2.0427,19,60,1,1,6,5,1,0,6,13,1,1,20,53,1,1,96,59,0,1,51,61,1,1
84,28,38.8803,32.281,351.65,184.66,1.9043,40,1,1,0,22,29,1,1,74,58,1,1,83,3,1,0,83,92,1,1,73,40,1,1
71,28,35.9595,40.5803,239.09,185.64,1.2879,42,53,1,1,83,88,1,1,86,93,1,1,1,53,0,1,21,9,1,1,56,52,1,1
97,28,42.5952,54.307,317.22,100.41,3.1592,84,46,1,1,1,0,0,0,56,67,1,1,30,100,1,0,86,61,1,1,46,25,1,1
39,28,102.12,87.119,516.2,237.27,2.1756,30,17,1,1,4,3,0,0,80,48,1,1,89,44,1,1,81,82,1,1,56,12,1,1
96,28,101.188,102.337,1080.84,369.09,2.9284,73,56,1,1,52,51,1,1,43,15,1,1,76,53,1,1,66,12,1,1,17,22,1,1
72,28,168.377,180.718,649.75,590.18,1.1009,30,13,1,1,45,36,1,1,14,44,1,1,3,48,0,1,74,87,1,1,64,53,1,1
95,28,236.327,219.982,844.11,393.41,2.1456,99,68,0,1,51,43,1,1,39,21,1,1,98,97,0,0,6,8,1,1,53,24,1,1
94,28,220.313,247.288,828.06,420.16,1.9708,5,11,0,1,4,4,0,0,88,86,1,1,81,65,1,1,52,3,1,0,46,10,1,1
23,28,255.796,253.743,2177.84,704.47,3.0915,0,60,0,1,12,12,1,1,98,66,0,1,51,100,1,0,6,1,1,0,64,21,1,1
80,28,491.163,397.776,907.51,641.2,1.4153,23,13,1,1,26,42,1,1,13,45,1,1,87,14,1,1,55,83,1,1,34,11,1,1

# summary,param,rank_mean_new,rank_mean_old,ks_p_new,ks_p_old,cov90_new,cov90_old,cov68_new,cov68_old
# summary,M,53.0000,51.7778,0.428863,0.820133,0.6111,0.7778,0.6111,0.5556
# summary,a_star,31.0556,32.6667,0.030940,0.062519,0.7778,0.7222,0.5000,0.5000
# summary,i,43.2778,43.8333,0.193584,0.651999,0.6667,0.8889,0.3889,0.6111
# summary,position_angle,61.4444,53.1667,0.045861,0.285811,0.7222,0.6667,0.4444,0.5000
# summary,ring_width_frac,58.5556,50.1667,0.065742,0.411890,0.9444,0.8889,0.7778,0.6111
# summary,log10_total_flux_jy,48.1111,31.6667,0.203677,0.002612,1.0000,0.8889,0.8333,0.6667
